Location,Direction,Date,Time,Volume,Lanes
ML 52-53,NB,1/1/2025,12:00 AM,500,3
ML 52-53,NB,1/1/2025,1:00 AM,500,3
ML 52-53,NB,1/1/2025,2:00 AM,500,3
ML 52-53,NB,1/1/2025,3:00 AM,317,3
ML 52-53,NB,1/1/2025,4:00 AM,350,3
ML 52-53,NB,1/1/2025,5:00 AM,573,3
ML 52-53,NB,1/1/2025,6:00 AM,989,3
ML 52-53,NB,1/1/2025,7:00 AM,1424,3
ML 52-53,NB,1/1/2025,8:00 AM,1529,3
ML 52-53,NB,1/1/2025,9:00 AM,1457,3
ML 52-53,NB,1/1/2025,10:00 AM,1153,3
ML 52-53,NB,1/1/2025,11:00 AM,934,3
ML 52-53,NB,1/1/2025,12:00 PM,869,3
ML 52-53,NB,1/1/2025,1:00 PM,831,3
ML 52-53,NB,1/1/2025,2:00 PM,1121,3
ML 52-53,NB,1/1/2025,3:00 PM,1390,3
ML 52-53,NB,1/1/2025,4:00 PM,1748,3
ML 52-53,NB,1/1/2025,5:00 PM,1778,3
ML 52-53,NB,1/1/2025,6:00 PM,1629,3
ML 52-53,NB,1/1/2025,7:00 PM,1102,3
ML 52-53,NB,1/1/2025,8:00 PM,575,3
ML 52-53,NB,1/1/2025,9:00 PM,264,3
ML 52-53,NB,1/1/2025,10:00 PM,176,3
ML 52-53,NB,1/1/2025,11:00 PM,141,3
ML 52-53,SB,1/1/2025,12:00 AM,330,3
ML 52-53,SB,1/1/2025,1:00 AM,343,3
ML 52-53,SB,1/1/2025,2:00 AM,370,3
ML 52-53,SB,1/1/2025,3:00 AM,353,3
ML 52-53,SB,1/1/2025,4:00 AM,419,3
ML 52-53,SB,1/1/2025,5:00 AM,555,3
ML 52-53,SB,1/1/2025,6:00 AM,946,3
ML 52-53,SB,1/1/2025,7:00 AM,1447,3
ML 52-53,SB,1/1/2025,8:00 AM,1824,3
ML 52-53,SB,1/1/2025,9:00 AM,1606,3
ML 52-53,SB,1/1/2025,10:00 AM,1375,3
ML 52-53,SB,1/1/2025,11:00 AM,1056,3
ML 52-53,SB,1/1/2025,12:00 PM,892,3
ML 52-53,SB,1/1/2025,1:00 PM,998,3
ML 52-53,SB,1/1/2025,2:00 PM,1108,3
ML 52-53,SB,1/1/2025,3:00 PM,1601,3
ML 52-53,SB,1/1/2025,4:00 PM,1950,3
ML 52-53,SB,1/1/2025,5:00 PM,1918,3
ML 52-53,SB,1/1/2025,6:00 PM,1778,3
ML 52-53,SB,1/1/2025,7:00 PM,1106,3
ML 52-53,SB,1/1/2025,8:00 PM,650,3
ML 52-53,SB,1/1/2025,9:00 PM,327,3
ML 52-53,SB,1/1/2025,10:00 PM,183,3
ML 52-53,SB,1/1/2025,11:00 PM,156,3
ML 52-53,NB,1/2/2025,12:00 AM,295,3
ML 52-53,NB,1/2/2025,1:00 AM,327,3
ML 52-53,NB,1/2/2025,2:00 AM,310,3
ML 52-53,NB,1/2/2025,3:00 AM,352,3
ML 52-53,NB,1/2/2025,4:00 AM,383,3
ML 52-53,NB,1/2/2025,5:00 AM,509,3
ML 52-53,NB,1/2/2025,6:00 AM,931,3
ML 52-53,NB,1/2/2025,7:00 AM,1457,3
ML 52-53,NB,1/2/2025,8:00 AM,1766,3
ML 52-53,NB,1/2/2025,9:00 AM,1510,3
ML 52-53,NB,1/2/2025,10:00 AM,1186,3
ML 52-53,NB,1/2/2025,11:00 AM,880,3
ML 52-53,NB,1/2/2025,12:00 PM,871,3
ML 52-53,NB,1/2/2025,1:00 PM,934,3
ML 52-53,NB,1/2/2025,2:00 PM,1002,3
ML 52-53,NB,1/2/2025,3:00 PM,1495,3
ML 52-53,NB,1/2/2025,4:00 PM,1676,3
ML 52-53,NB,1/2/2025,5:00 PM,2028,3
ML 52-53,NB,1/2/2025,6:00 PM,1595,3
ML 52-53,NB,1/2/2025,7:00 PM,1106,3
ML 52-53,NB,1/2/2025,8:00 PM,549,3
ML 52-53,NB,1/2/2025,9:00 PM,283,3
ML 52-53,NB,1/2/2025,10:00 PM,183,3
ML 52-53,NB,1/2/2025,11:00 PM,148,3
ML 52-53,SB,1/2/2025,12:00 AM,335,3
ML 52-53,SB,1/2/2025,1:00 AM,319,3
ML 52-53,SB,1/2/2025,2:00 AM,360,3
ML 52-53,SB,1/2/2025,3:00 AM,343,3
ML 52-53,SB,1/2/2025,4:00 AM,391,3
ML 52-53,SB,1/2/2025,5:00 AM,631,3
ML 52-53,SB,1/2/2025,6:00 AM,1010,3
ML 52-53,SB,1/2/2025,7:00 AM,1516,3
ML 52-53,SB,1/2/2025,8:00 AM,1919,3
ML 52-53,SB,1/2/2025,9:00 AM,1744,3
ML 52-53,SB,1/2/2025,10:00 AM,1324,3
ML 52-53,SB,1/2/2025,11:00 AM,993,3
ML 52-53,SB,1/2/2025,12:00 PM,938,3
ML 52-53,SB,1/2/2025,1:00 PM,947,3
ML 52-53,SB,1/2/2025,2:00 PM,1103,3
ML 52-53,SB,1/2/2025,3:00 PM,1465,3
ML 52-53,SB,1/2/2025,4:00 PM,1844,3
ML 52-53,SB,1/2/2025,5:00 PM,1893,3
ML 52-53,SB,1/2/2025,6:00 PM,1849,3
ML 52-53,SB,1/2/2025,7:00 PM,1187,3
ML 52-53,SB,1/2/2025,8:00 PM,612,3
ML 52-53,SB,1/2/2025,9:00 PM,330,3
ML 52-53,SB,1/2/2025,10:00 PM,192,3
ML 52-53,SB,1/2/2025,11:00 PM,149,3
ML 52-53,NB,1/3/2025,12:00 AM,212,3
ML 52-53,NB,1/3/2025,1:00 AM,219,3
ML 52-53,NB,1/3/2025,2:00 AM,224,3
ML 52-53,NB,1/3/2025,3:00 AM,220,3
ML 52-53,NB,1/3/2025,4:00 AM,224,3
ML 52-53,NB,1/3/2025,5:00 AM,265,3
ML 52-53,NB,1/3/2025,6:00 AM,381,3
ML 52-53,NB,1/3/2025,7:00 AM,725,3
ML 52-53,NB,1/3/2025,8:00 AM,1033,3
ML 52-53,NB,1/3/2025,9:00 AM,1354,3
ML 52-53,NB,1/3/2025,10:00 AM,1285,3
ML 52-53,NB,1/3/2025,11:00 AM,1055,3
ML 52-53,NB,1/3/2025,12:00 PM,810,3
ML 52-53,NB,1/3/2025,1:00 PM,665,3
ML 52-53,NB,1/3/2025,2:00 PM,663,3
ML 52-53,NB,1/3/2025,3:00 PM,678,3
ML 52-53,NB,1/3/2025,4:00 PM,1027,3
ML 52-53,NB,1/3/2025,5:00 PM,1266,3
ML 52-53,NB,1/3/2025,6:00 PM,1308,3
ML 52-53,NB,1/3/2025,7:00 PM,1088,3
ML 52-53,NB,1/3/2025,8:00 PM,780,3
ML 52-53,NB,1/3/2025,9:00 PM,442,3
ML 52-53,NB,1/3/2025,10:00 PM,217,3
ML 52-53,NB,1/3/2025,11:00 PM,122,3
ML 52-53,SB,1/3/2025,12:00 AM,242,3
ML 52-53,SB,1/3/2025,1:00 AM,257,3
ML 52-53,SB,1/3/2025,2:00 AM,239,3
ML 52-53,SB,1/3/2025,3:00 AM,249,3
ML 52-53,SB,1/3/2025,4:00 AM,242,3
ML 52-53,SB,1/3/2025,5:00 AM,274,3
ML 52-53,SB,1/3/2025,6:00 AM,467,3
ML 52-53,SB,1/3/2025,7:00 AM,750,3
ML 52-53,SB,1/3/2025,8:00 AM,1236,3
ML 52-53,SB,1/3/2025,9:00 AM,1434,3
ML 52-53,SB,1/3/2025,10:00 AM,1389,3
ML 52-53,SB,1/3/2025,11:00 AM,1132,3
ML 52-53,SB,1/3/2025,12:00 PM,846,3
ML 52-53,SB,1/3/2025,1:00 PM,720,3
ML 52-53,SB,1/3/2025,2:00 PM,712,3
ML 52-53,SB,1/3/2025,3:00 PM,732,3
ML 52-53,SB,1/3/2025,4:00 PM,967,3
ML 52-53,SB,1/3/2025,5:00 PM,1395,3
ML 52-53,SB,1/3/2025,6:00 PM,1530,3
ML 52-53,SB,1/3/2025,7:00 PM,1278,3
ML 52-53,SB,1/3/2025,8:00 PM,830,3
ML 52-53,SB,1/3/2025,9:00 PM,479,3
ML 52-53,SB,1/3/2025,10:00 PM,214,3
ML 52-53,SB,1/3/2025,11:00 PM,145,3
ML 52-53,NB,1/4/2025,12:00 AM,217,3
ML 52-53,NB,1/4/2025,1:00 AM,219,3
ML 52-53,NB,1/4/2025,2:00 AM,235,3
ML 52-53,NB,1/4/2025,3:00 AM,237,3
ML 52-53,NB,1/4/2025,4:00 AM,248,3
ML 52-53,NB,1/4/2025,5:00 AM,264,3
ML 52-53,NB,1/4/2025,6:00 AM,415,3
ML 52-53,NB,1/4/2025,7:00 AM,733,3
ML 52-53,NB,1/4/2025,8:00 AM,1059,3
ML 52-53,NB,1/4/2025,9:00 AM,1243,3
ML 52-53,NB,1/4/2025,10:00 AM,1159,3
ML 52-53,NB,1/4/2025,11:00 AM,1042,3
ML 52-53,NB,1/4/2025,12:00 PM,743,3
ML 52-53,NB,1/4/2025,1:00 PM,680,3
ML 52-53,NB,1/4/2025,2:00 PM,663,3
ML 52-53,NB,1/4/2025,3:00 PM,744,3
ML 52-53,NB,1/4/2025,4:00 PM,934,3
ML 52-53,NB,1/4/2025,5:00 PM,1176,3
ML 52-53,NB,1/4/2025,6:00 PM,1419,3
ML 52-53,NB,1/4/2025,7:00 PM,1117,3
ML 52-53,NB,1/4/2025,8:00 PM,830,3
ML 52-53,NB,1/4/2025,9:00 PM,409,3
ML 52-53,NB,1/4/2025,10:00 PM,222,3
ML 52-53,NB,1/4/2025,11:00 PM,124,3
ML 52-53,SB,1/4/2025,12:00 AM,233,3
